Rank,Release Group,Worldwide,Domestic,%,Foreign,%
162,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
163,The Protege,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%
164,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
165,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
166,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
167,Ainbo,"$8,066,941",-,-,"$8,066,941",100%
168,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
169,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
170,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
171,The Medium,"$7,592,993",-,-,"$7,592,993",100%
172,Dad,"$7,544,581",-,-,"$7,544,581",100%
173,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
174,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
175,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
176,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
177,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
178,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
179,Sooryavanshi,"$6,956,990","$3,547,776",51%,"$3,409,214",49%
180,Extinct,"$6,929,315",-,-,"$6,929,315",100%
181,The Vault,"$6,905,386",-,-,"$6,905,386",100%
182,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%
183,Judas and the Black Messiah,"$6,798,511","$5,446,607",80.1%,"$1,351,904",19.9%
184,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
185,Seobok,"$6,778,823",-,-,"$6,778,823",100%
186,Silver Skates,"$6,727,993",-,-,"$6,727,993",100%
187,Copshop,"$6,698,904","$5,213,243",77.8%,"$1,485,661",22.2%
188,Mamorarenakatta mono tachi e,"$6,641,284",-,-,"$6,641,284",100%
189,Belfast,"$6,589,230","$6,589,230",100%,-,-
190,Dream Horse,"$6,588,829","$2,913,328",44.2%,"$3,675,501",55.8%
191,Lost Illusions,"$6,571,931",-,-,"$6,571,931",100%
192,Chernobyl: Abyss,"$6,459,306",-,-,"$6,459,306",100%
193,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
194,The Ice Road,"$6,391,240",-,-,"$6,391,240",100%
195,Spiritwalker,"$6,320,729",-,-,"$6,320,729",100%
196,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
197,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
198,Penguin Bloom,"$6,158,751",-,-,"$6,158,751",100%
199,The Forgotten Battle,"$6,000,546",-,-,"$6,000,546",100%
200,Les Tuche 4,"$5,999,727",-,-,"$5,999,727",100%
